# Passe C109 sous C123 - lot 3 d esp32/ - 29/08 (suite 7).
# chemin<TAB>ancre exacte<TAB>remplacement
# 38 candidats releves par --style, 36 traites, 2 exemptes (deep-sleep l.189,
# puce d un corrige, segments nominaux sans verbe conjugue).
embarque/mcu/esp32/esp32-deep-sleep.md	[[deep-sleep|deep sleep]] ; cette fiche en donne l'incarnation ESP32.	[[deep-sleep|deep sleep]]. Cette fiche en donne l'incarnation ESP32.
embarque/mcu/esp32/esp32-deep-sleep.md	dans un calcul de durée) ; pour des broches ou seuils, on préférera	dans un calcul de durée). Pour des broches ou seuils, on préférera
embarque/mcu/esp32/esp32-deep-sleep.md	32-39`) — une broche ordinaire ne réveille pas la puce.	32-39`). Une broche ordinaire ne réveille pas la puce.
embarque/mcu/esp32/esp32-deep-sleep.md	Une broche ordinaire est ignorée — la carte ne se réveille jamais.	Une broche ordinaire est ignorée, et la carte ne se réveille jamais.
embarque/mcu/esp32/esp32-deep-sleep.md	et son régulateur — elle consomme bien plus que	et son régulateur. Elle consomme bien plus que
embarque/mcu/esp32/esp32-deep-sleep.md	s'était arrêtée au réveil — sans RESET.	s'était arrêtée au réveil, sans RESET.
embarque/mcu/esp32/esp32-arduino-core.md	système temps réel **FreeRTOS** — ce qui change discrètement	système temps réel **FreeRTOS**, ce qui change discrètement
embarque/mcu/esp32/esp32-arduino-core.md	sa résistance de 220 Ω — voir le montage de [[esp32-prise-en-main|la prise en main]].*	sa résistance de 220 Ω (voir le montage de [[esp32-prise-en-main|la prise en main]]).*
embarque/mcu/esp32/esp32-arduino-core.md	broches en 3,3 V — tous traités dans [[esp32-gpio|configurer les GPIO]] et [[esp32-serie|le moniteur série]].	broches en 3,3 V (tous traités dans [[esp32-gpio|configurer les GPIO]] et [[esp32-serie|le moniteur série]]).
embarque/mcu/esp32/esp32-arduino-core.md	a deux cœurs ; `loop()` s'exécute par défaut	a deux cœurs, et `loop()` s'exécute par défaut
embarque/mcu/esp32/esp32-arduino-core.md	la mémoire libre — deux informations qui n'existent pas	la mémoire libre, deux informations qui n'existent pas
embarque/mcu/esp32/esp32-arduino-core.md	sont **identiques** — c'est le point de la démonstration.	sont **identiques**. C'est le point de la démonstration.
embarque/mcu/esp32/esp32-arduino-core.md	comme sur un AVR nu — pour des échéances strictes, structurer	comme sur un AVR nu. Pour des échéances strictes, structurer
embarque/mcu/esp32/esp32-arduino-core.md	et l'y épingler — voir [[esp32-freertos|FreeRTOS]].	et l'y épingler (voir [[esp32-freertos|FreeRTOS]]).
embarque/mcu/esp32/esp32-arduino-core.md	passent sans souci ; sur un Uno (2 ko de RAM), la même allocation	passent sans souci. Sur un Uno (2 ko de RAM), la même allocation
