# PASSE C109 - LOT 8 (conduite/proj : acv-simplifiee, bom, ecodesign, fast,
# matrice-eco-criteres). Table JETABLE (C114), datee, non reutilisable.
# 85 occurrences jugees, 16 gardees, 69 traitees, 64 ancres.
# Jugement publie un par un dans tools/predictions-260830.md avant cette table.
# chemin<TAB>ancre exacte<TAB>remplacement

# --- acv-simplifiee : 3 occurrences, 3 ancres ---
conduite/proj/acv-simplifiee.md	et le tracer — pas pour produire	et le tracer, pas pour produire
conduite/proj/acv-simplifiee.md	est porté en propre ; le reste	est porté en propre. Le reste
conduite/proj/acv-simplifiee.md	de matériaux** ; le wiki	de matériaux**. Le wiki

# --- bom : 23 occurrences, 23 ancres ---
conduite/proj/bom.md	des intentions ; une fois chiffrée	des intentions. Une fois chiffrée
conduite/proj/bom.md	- **Chiffrer le coût réel du projet** — le total HT	- **Chiffrer le coût réel du projet.** Le total HT
conduite/proj/bom.md	- **Servir de base d'achat** — chaque ligne	- **Servir de base d'achat.** Chaque ligne
conduite/proj/bom.md	presque mécanique ; une BOM floue	presque mécanique. Une BOM floue
conduite/proj/bom.md	- **Alimenter les livrables aval** — l'[[acv-simplifiee	- **Alimenter les livrables aval.** L'[[acv-simplifiee
conduite/proj/bom.md	L'ordre compte — on ne chiffre	L'ordre compte. On ne chiffre
conduite/proj/bom.md	et visserie ; l'électronique apporte	et visserie. L'électronique apporte
conduite/proj/bom.md	connectique et carte ; l'informatique	connectique et carte. L'informatique
conduite/proj/bom.md	est structurante — elle limite	est structurante. Elle limite
conduite/proj/bom.md	**au centime près** — c'est ce niveau	**au centime près**. C'est ce niveau
conduite/proj/bom.md	un total approximatif — méfiance.	un total approximatif. Méfiance.
conduite/proj/bom.md	- **Versionnage** — une BOM est vivante.	- **Versionnage.** Une BOM est vivante.
conduite/proj/bom.md	la modifie ; toute version	la modifie. Toute version
conduite/proj/bom.md	fil rouge — un bras robotique	fil rouge, un bras robotique
conduite/proj/bom.md	à l'étape 5 — un par partenaire.	à l'étape 5, un par partenaire.
conduite/proj/bom.md	ancienne ligne PLA — coût environnemental	ancienne ligne PLA, coût environnemental
conduite/proj/bom.md	fausse le total ; un total non chiffré	fausse le total. Un total non chiffré
conduite/proj/bom.md	catalogue fermé ; le hors-catalogue	catalogue fermé. Le hors-catalogue
conduite/proj/bom.md	nourrit la BOM ; il ne la remplace	nourrit la BOM. Il ne la remplace
conduite/proj/bom.md	- **Étape 5 du dossier technique** — chaque ligne devient	- **Étape 5 du dossier technique.** Chaque ligne devient
